origin,destination,route_code,annual_passengers,placeholder
BOM,DEL,BOM-DEL,2850000,true
DEL,BOM,DEL-BOM,2850000,true
DEL,BLR,DEL-BLR,2200000,true
BLR,DEL,BLR-DEL,2200000,true
BOM,BLR,BOM-BLR,1850000,true
BLR,BOM,BLR-BOM,1850000,true
DEL,HYD,DEL-HYD,1450000,true
HYD,DEL,HYD-DEL,1450000,true
BOM,HYD,BOM-HYD,1250000,true
HYD,BOM,HYD-BOM,1250000,true
DEL,CCU,DEL-CCU,1350000,true
CCU,DEL,CCU-DEL,1350000,true
BOM,CCU,BOM-CCU,1150000,true
CCU,BOM,CCU-BOM,1150000,true
DEL,MAA,DEL-MAA,1200000,true
MAA,DEL,MAA-DEL,1200000,true
BOM,MAA,BOM-MAA,1100000,true
MAA,BOM,MAA-BOM,1100000,true
BLR,HYD,BLR-HYD,950000,true
HYD,BLR,HYD-BLR,950000,true
